STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,AGE,CATEGORY,,"GENERAL
VOTES","TOTAL
VOTES",TOTAL ELECTORS,,,,,
Uttarakhand,ALMORA,Sunder Dhoni (Advocate),0,BSP,Elephant,MALE,41,SC,,10059,10190,1337808,,,,,
Rajasthan,ALWAR,Balak Nath,1,BJP,Lotus,MALE,35,GENERAL,,750580,760201,1888524,,,,,
Rajasthan,ALWAR,Bhanwar Jitendra Singh,0,INC,Hand,MALE,47,GENERAL,,426794,430230,1888524,,,,,
Rajasthan,ALWAR,Imran Khan,0,BSP,Elephant,MALE,31,GENERAL,,56399,56649,1888524,,,,,
Andhra Pradesh,AMALAPURAM,CHINTA ANURADHA,1,YSRCP,Ceiling Fan,FEMALE,46,SC,,482003,485958,1459556,,,,,
Andhra Pradesh,AMALAPURAM,GANTI HARISH MADHUR (BALAYOGI),0,TDP,Bicycle,MALE,28,SC,,443590,446163,1459556,,,,,
Andhra Pradesh,AMALAPURAM,D M R SEKHAR,0,JnP,Glass Tumbler,MALE,59,SC,,253740,255317,1459556,,,,,
Andhra Pradesh,AMALAPURAM,NOTA,0,NOTA,,,,,,16427,16468,1459556,,,,,
Haryana,AMBALA,RATTAN LAL KATARIA,1,BJP,Lotus,MALE,67,SC,,744438,746508,1853711,,,,,
Haryana,AMBALA,SELJA,0,INC,Hand,FEMALE,56,SC,,403678,404163,1853711,,,,,
Haryana,AMBALA,NARESH KUMAR,0,BSP,Elephant,MALE,55,SC,,96205,96296,1853711,,,,,
Haryana,AMBALA,RAM PAL,0,INLD,Spectacles,MALE,61,SC,,19518,19575,1853711,,,,,
Uttar Pradesh,AMBEDKAR NAGAR,Ritesh Pandey,1,BSP,Elephant,MALE,38,GENERAL,,563445,564118,1785657,,,,,
Uttar Pradesh,AMBEDKAR NAGAR,Mukut Bihari,0,BJP,Lotus,MALE,71,GENERAL,,467287,468238,1785657,,,,,
Uttar Pradesh,AMBEDKAR NAGAR,Rakesh,0,SBSP,Walking Stick,MALE,36,GENERAL,,15164,15167,1785657,,,,,
Uttar Pradesh,AMBEDKAR NAGAR,NOTA,0,NOTA,,,,,,11329,11344,1785657,,,,,
Uttar Pradesh,AMETHI,Smriti Irani,1,BJP,Lotus,FEMALE,43,GENERAL,,467598,468514,1743515,,,,,
Uttar Pradesh,AMETHI,Rahul Gandhi,0,INC,Hand,MALE,48,GENERAL,,412867,413394,1743515,,,,,
Maharashtra,AMRAVATI,Navnit Ravi Rana,1,IND,Spanner,FEMALE,33,SC,,507844,510947,1833091,,,,,
Maharashtra,AMRAVATI,Adsul Anandrao Vithoba,0,SHS,Bow and Arrow,MALE,71,SC,,470549,473996,1833091,,,,,
Maharashtra,AMRAVATI,Gunwant Deopare,0,VBA,Whistle,MALE,47,SC,,64585,65135,1833091,,,,,
Maharashtra,AMRAVATI,Arun Motiramji Wankhade,0,BSP,Elephant,MALE,56,SC,,12232,12336,1833091,,,,,
Gujarat,AMRELI,Kachhadiya Naranbhai Bhikhabhai,1,BJP,Lotus,MALE,64,GENERAL,,527593,529035,1628451,,,,,
Gujarat,AMRELI,Paresh Dhanani,0,INC,Hand,MALE,42,GENERAL,,326781,327604,1628451,,,,,
Gujarat,AMRELI,NOTA,0,NOTA,,,,,,17513,17567,1628451,,,,,
Gujarat,AMRELI,Chauhan Ravjibhai Mulabhai,0,BSP,Elephant,MALE,47,SC,,9664,9691,1628451,,,,,
Punjab,AMRITSAR,GURJEET SINGH AUJLA,1,INC,Hand,MALE,46,GENERAL,,444052,445032,1507875,,,,,
Punjab,AMRITSAR,HARDEEP SINGH PURI,0,BJP,Lotus,MALE,67,GENERAL,,344049,345406,1507875,,,,,
Punjab,AMRITSAR,KULDIP SINGH DHALIWAL,0,AAP,Broom,MALE,58,GENERAL,,19800,20087,1507875,,,,,
Punjab,AMRITSAR,DASWINDER KAUR,0,CPI(M),Ears of Corn And Sickle,FEMALE,55,GENERAL,,16278,16335,1507875,,,,,
Punjab,AMRITSAR,NOTA,0,NOTA,,,,,,8713,8763,1507875,,,,,
Uttar Pradesh,AMROHA,KUNWAR DANISH ALI,1,BSP,Elephant,MALE,43,GENERAL,,600744,601082,1646435,,,,,
Uttar Pradesh,AMROHA,KANWAR SINGH TANWAR,0,BJP,Lotus,MALE,58,GENERAL,,536380,537834,1646435,,,,,
Uttar Pradesh,AMROHA,SACHIN CHOUDHARY,0,INC,Hand,MALE,35,GENERAL,,12454,12510,1646435,,,,,
Andhra Pradesh,ANAKAPALLI,Dr.Beesetti Venkata Satyavathi,1,YSRCP,Ceiling Fan,FEMALE,52,GENERAL,,583210,586226,1521363,,,,,
Andhra Pradesh,ANAKAPALLI,ADARI ANAND KUMAR,0,TDP,Bicycle,MALE,43,GENERAL,,495381,497034,1521363,,,,,
Andhra Pradesh,ANAKAPALLI,Chintala Partha Sarathi,0,JnP,Glass Tumbler,MALE,56,GENERAL,,82126,82588,1521363,,,,,
Andhra Pradesh,ANAKAPALLI,NOTA,0,NOTA,,,,,,34877,34897,1521363,,,,,
Andhra Pradesh,ANAKAPALLI,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),0,BJP,Lotus,MALE,65,GENERAL,,12888,13276,1521363,,,,,
Gujarat,ANAND,PATEL MITESH RAMESHBHAI (BAKABHAI),1,BJP,Lotus,MALE,54,GENERAL,,631581,633097,1655870,,,,,
Gujarat,ANAND,BHARATBHAI MADHAVSINH SOLANKI,0,INC,Hand,MALE,65,GENERAL,,434006,435379,1655870,,,,,
Gujarat,ANAND,NOTA,0,NOTA,,,,,,18365,18392,1655870,,,,,
Punjab,ANANDPUR SAHIB,Manish Tewari,1,INC,Hand,MALE,53,GENERAL,,426904,428045,1698876,,,,,
Punjab,ANANDPUR SAHIB,Professor Prem Singh Chandumajra,0,SAD,Scales,MALE,69,GENERAL,,379552,381161,1698876,,,,,
Punjab,ANANDPUR SAHIB,Sodhi Vikram Singh,0,BSP,Elephant,MALE,62,GENERAL,,146077,146441,1698876,,,,,
Punjab,ANANDPUR SAHIB,Narinder Singh Shergill,0,AAP,Broom,MALE,51,GENERAL,,52539,53052,1698876,,,,,
Punjab,ANANDPUR SAHIB,NOTA,0,NOTA,,,,,,17069,17135,1698876,,,,,
Andhra Pradesh,ANANTAPUR,TALARI RANGAIAH,1,YSRCP,Ceiling Fan,MALE,48,GENERAL,,690901,695208,1664160,,,,,
Andhra Pradesh,ANANTAPUR,J.C. PAVAN REDDY,0,TDP,Bicycle,MALE,45,GENERAL,,550597,553780,1664160,,,,,
Andhra Pradesh,ANANTAPUR,K.RAJIV REDDY,0,INC,Hand,MALE,29,GENERAL,,29994,30079,1664160,,,,,
Andhra Pradesh,ANANTAPUR,D.JAGADEESH,0,CPI(M),Ears of Corn And Sickle,MALE,58,GENERAL,,20192,20294,1664160,,,,,
Andhra Pradesh,ANANTAPUR,NOTA,0,NOTA,,,,,,16406,16466,1664160,,,,,
Jammu & Kashmir,ANANTNAG,HASNAIN MASOODI,1,JKN,Plough,MALE,65,GENERAL,,40032,40180,1397779,,,,,
Jammu & Kashmir,ANANTNAG,GHULAM AHMAD MIR,0,INC,Hand,MALE,60,GENERAL,,32879,33504,1397779,,,,,
Jammu & Kashmir,ANANTNAG,MEHBOOBA MUFTI,0,JKPDP,Ink Pot & Pen,FEMALE,59,GENERAL,,30223,30524,1397779,,,,,
Jammu & Kashmir,ANANTNAG,SOFI YOUSUF,0,BJP,Lotus,MALE,53,GENERAL,,9687,10225,1397779,,,,,
Jammu & Kashmir,ANANTNAG,CH. ZAFFAR ALI,0,JPC,Apple,MALE,60,ST,,1629,1646,1397779,,,,,
Jammu & Kashmir,ANANTNAG,GH. MOHD. WANI,0,IND,Table,MALE,45,GENERAL,,1365,1369,1397779,,,,,
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,KULDEEP RAI SHARMA,1,INC,Hand,MALE,52,GENERAL,,95249,95308,318471,,,,,
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,VISHAL JOLLY,0,BJP,Lotus,MALE,46,GENERAL,,93772,93901,318471,,,,,
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,PARITOSH KUMAR HALDAR,0,IND,Helicopter,MALE,61,GENERAL,,5339,5341,318471,,,,,
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,SANJAY MESHACK,0,AAP,Broom,MALE,49,GENERAL,,2837,2839,318471,,,,,
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,PRAKASH MINJ,0,BSP,Elephant,MALE,43,SC,,2478,2486,318471,,,,,
Uttar Pradesh,AONLA,DHARMENDRA KASHYAP,1,BJP,Lotus,MALE,50,GENERAL,,536377,537675,1785605,,,,,
Uttar Pradesh,AONLA,RUCHIVIRA,0,BSP,Elephant,FEMALE,57,GENERAL,,423100,423932,1785605,,,,,
Uttar Pradesh,AONLA,KUNWAR SARVARAJ SINGH,0,INC,Hand,MALE,64,GENERAL,,62407,62548,1785605,,,,,
Tamil Nadu,ARAKKONAM,S. JAGATHRAKSHAKAN,1,DMK,Rising Sun,MALE,71,GENERAL,,666688,672190,1500016,,,,,
Tamil Nadu,ARAKKONAM,A.K. MOORTHY,0,PMK,Mango,MALE,55,GENERAL,,341527,343234,1500016,,,,,
Tamil Nadu,ARAKKONAM,N.G. PARTHIBAN,0,IND,Gift Pack,MALE,43,GENERAL,,66595,66826,1500016,,,,,
Tamil Nadu,ARAKKONAM,Y.R. PAVENDHAN,0,NTK,Ganna Kisan,MALE,40,GENERAL,,29065,29347,1500016,,,,,
Tamil Nadu,ARAKKONAM,"RAJENDRAN, N.",0,MNM,Battery Torch,MALE,61,GENERAL,,23598,23771,1500016,,,,,
Tamil Nadu,ARAKKONAM,NOTA,0,NOTA,,,,,,12015,12179,1500016,,,,,
West Bengal,ARAMBAGH,APARUPA PODDAR (AFRIN ALI),1,AITC,Flowers and Grass,FEMALE,33,SC,,649613,649929,1764726,,,,,
West Bengal,ARAMBAGH,TAPAN KUMAR RAY,0,BJP,Lotus,MALE,55,SC,,647755,648787,1764726,,,,,
West Bengal,ARAMBAGH,SAKTI MOHAN MALIK,0,CPI(M),"Hammer, Sickle and Star",MALE,59,SC,,100373,100520,1764726,,,,,
West Bengal,ARAMBAGH,JYOTI KUMARI DAS,0,INC,Hand,FEMALE,41,SC,,25094,25128,1764726,,,,,
West Bengal,ARAMBAGH,NOTA,0,NOTA,,,,,,20484,20495,1764726,,,,,
